Line,Capacity,Headway,Departure time
1,60,29,2015-12-08 04:36:53
1,20,15,2015-12-08 06:50:25
1,20,9,2015-12-08 09:37:55
1,60,21,2015-12-08 14:53:56
1,20,13,2015-12-08 15:22:38
1,120,19,2015-12-08 19:33:10
1,20,10,2015-12-08 22:06:08

101,120,5,2015-12-08 05:22:11
101,60,18,2015-12-08 07:28:47
101,120,22,2015-12-08 09:53:44
101,120,6,2015-12-08 14:31:29
101,60,17,2015-12-08 16:47:59
101,20,13,2015-12-08 18:02:03
101,60,11,2015-12-08 23:22:31

102,20,15,2015-12-08 05:06:01
102,20,5,2015-12-08 06:28:55
102,60,9,2015-12-08 11:34:44
102,120,17,2015-12-08 13:22:09
102,20,29,2015-12-08 16:15:23
102,120,20,2015-12-08 20:01:54
102,20,15,2015-12-08 22:03:28

2,60,14,2015-12-08 04:12:34
2,120,25,2015-12-08 07:40:37
2,20,10,2015-12-08 11:49:16
2,120,8,2015-12-08 14:24:23
2,60,21,2015-12-08 15:22:41
2,120,6,2015-12-08 18:49:16
2,60,11,2015-12-08 21:50:59

14,120,11,2015-12-08 05:36:11
14,120,10,2015-12-08 06:41:31
14,60,9,2015-12-08 11:05:27
14,120,22,2015-12-08 14:56:45
14,20,10,2015-12-08 17:03:32
14,60,9,2015-12-08 18:34:54
14,20,13,2015-12-08 23:38:28

114,120,8,2015-12-08 05:28:54
114,120,13,2015-12-08 07:17:44
114,20,25,2015-12-08 11:07:11
114,60,22,2015-12-08 14:21:45
114,20,9,2015-12-08 16:29:45
114,20,24,2015-12-08 19:50:18
114,20,8,2015-12-08 23:29:43

